     DATE        TIME   ,  Infosys,Wipro,TATA MOTORS,BAJAJ FINANCE,BANK OF INDIA,BIRLA,BOSCH,HDFC
2021-01-27 12:11:07.376766,1317.37,450.19,270.1,4864.19,50.07,719.55,385.09,15773.38,1452.08
2021-01-27 12:11:18.833296,1317.37,450.19,270.1,4864.18,50.07,719.55,385.09,15773.38,1452.08
2021-01-27 12:11:29.734653,1317.37,450.19,270.1,4864.18,50.07,719.55,385.09,15773.43,1452.0
2021-01-27 12:11:40.739751,1317.37,450.19,270.1,4864.18,50.07,719.55,385.09,15773.43,1452.0
2021-01-27 12:11:51.626441,1317.37,450.19,270.1,4864.18,50.07,719.55,385.09,15773.43,1452.0
2021-01-27 12:12:02.447440,1317.37,450.19,270.1,4864.18,50.07,719.55,385.09,15773.43,1452.0
2021-01-27 12:12:13.264108,1317.37,450.19,270.1,4864.18,50.07,719.55,385.09,15773.43,1452.0
2021-01-27 12:12:24.344997,1317.37,450.19,270.1,4864.18,50.07,719.55,385.09,15773.43,1452.0
2021-01-27 12:12:35.270878,1317.37,450.19,270.1,4864.18,50.07,719.55,385.09,15773.43,1452.0
2021-01-27 12:12:46.122108,1317.36,450.19,270.1,4864.18,50.07,719.55,385.09,15773.43,1452.0
2021-01-27 12:12:56.979522,1317.36,450.19,270.1,4864.18,50.07,719.55,385.09,15773.43,1451.86
2021-01-27 12:13:08.027763,1317.36,450.19,270.1,4864.18,50.07,719.55,385.09,15773.49,1451.86
2021-01-27 12:13:18.935350,1317.36,450.19,270.1,4864.18,50.07,719.55,385.09,15773.49,1451.86
2021-01-27 12:13:29.840028,1317.36,450.19,270.1,4864.18,50.07,719.55,385.09,15773.49,1451.86
2021-01-27 12:13:41.059084,1317.36,450.19,270.1,4864.18,50.07,719.55,385.09,15773.78,1451.86
2021-01-27 12:13:51.846432,1317.36,450.19,270.1,4864.18,50.07,719.55,385.09,15773.78,1451.86
2021-01-27 12:14:03.081900,1317.36,450.19,270.1,4864.18,50.07,719.5,385.09,15773.78,1451.86
2021-01-27 12:14:13.979639,1317.36,450.17,270.1,4864.18,50.07,719.5,385.09,15773.78,1451.86
2021-01-27 12:14:24.774385,1317.36,450.17,270.1,4864.18,50.07,719.5,385.09,15773.78,1451.86
2021-01-27 12:14:35.719030,1317.36,450.17,270.1,4864.18,50.07,719.5,385.09,15773.78,1451.86
2021-01-27 12:14:46.526646,1317.36,450.17,270.09,4864.18,50.07,719.5,385.1,15773.78,1451.78
2021-01-27 12:14:57.461717,1317.36,450.17,270.09,4864.15,50.07,719.5,385.1,15773.78,1451.78
2021-01-27 12:15:08.277569,1317.36,450.17,270.09,4864.15,50.07,719.5,385.1,15773.78,1451.78
